,4/7/20,4/8/20,4/9/20
AMITA Health Saint Francis Hospital Evanston (FKA Presence Saint Francis Hospital),10.0,10.0,NA
AMITA Health Saint Joseph Hospital Chicago (FKA Presence Saint Joseph Hospital - Chicago),4.0,4.0,NA
AMITA Health Saint Joseph Hospital Elgin (FKA Presence Saint Joseph Hospital - Elgin),5.0,5.0,NA
AMITA Health Saint Joseph Medical Center Joliet (FKA Presence Saint Joseph Medical Center),18.0,18.0,NA
AMITA Health Saint Mary and Elizabeth Medical Center Chicago - Saint Mary Campus (FKA Presence Saint Mary and Elizabeth Medical Center - Saint Mary Campus),9.0,9.0,NA
AMITA Health St Alexius Medical Center Hoffman Estates,4.0,4.0,NA
AMITA Health St Marys Hospital Kankakee (FKA Presence St Marys Hospital),6.0,6.0,NA
ARH Our Lady of the Way (FKA St Joseph Martin),2.0,2.0,NA
Abbeville Area Medical Center,2.0,2.0,NA
Abbeville General Hospital,3.0,3.0,NA
Abbott Northwestern Hospital,12.0,12.0,NA
Abilene Regional Medical Center,3.0,3.0,NA
Abington - Lansdale Hospital (FKA Lansdale Hospital),4.0,4.0,NA
Abington Hospital - Jefferson Health (FKA Abington Memorial Hospital),15.0,15.0,NA
Abraham Lincoln Memorial Hospital,2.0,2.0,NA
Abrazo Arrowhead Campus (FKA Arrowhead Hospital),9.0,9.0,NA
Abrazo Central Campus (FKA Phoenix Baptist Hospital),6.0,6.0,NA
Abrazo Mesa Hospital,0.0,0.0,NA
Abrazo Scottsdale Campus (FKA Paradise Valley Hospital),4.0,4.0,NA
Abrazo West Campus (FKA West Valley Hospital),9.0,9.0,NA
Abrom Kaplan Memorial Hospital,2.0,2.0,NA
Acadia - St Landry Hospital,0.0,0.0,NA
Acadia General Hospital (FKA American Legion Hospital),3.0,3.0,NA
Accel Rehabilitation Hospital of Plano,0.0,0.0,NA
Access Hospital Dayton,0.0,0.0,NA
Accord Rehabilitation Hospital,0.0,0.0,NA
Acoma-Canoncito-Laguna Service Unit,0.0,0.0,NA
Acuity Specialty Hospital of Morgantown,0.0,0.0,NA
Acuity Specialty Hospital of New Jersey,5.0,5.0,NA
Acuity Specialty Hospital of Ohio Valley - Belmont Campus,4.0,4.0,NA
Acuity Specialty Hospital of Ohio Valley - Weirton Campus,2.0,2.0,NA
Acuity Specialty Hospital of Ohio Valley - Wheeling Campus,0.0,0.0,NA
Acuity Specialty Hospital of Southern New Jersey (FKA Lourdes Specialty Hospital of Southern New Jersey),6.0,6.0,NA
AdCare Hospital of Worcester,0.0,0.0,NA
Adair County Memorial Hospital,0.0,0.0,NA
Adams County Regional Medical Center,1.0,1.0,NA
Adams Memorial Hospital,2.0,2.0,NA
Adena Greenfield Medical Center,2.0,2.0,NA
Adena Pike Medical Center,2.0,2.0,NA
Adena Regional Medical Center,14.0,14.0,NA
Adirondack Medical Center - Saranac Lake,2.0,2.0,NA
Admin De Servicios Medicos Puerto Rico,2.0,2.0,NA
Advanced Care Hospital of Montana,3.0,3.0,NA
Advanced Care Hospital of Southern New Mexico,2.0,2.0,NA
Advanced Diagnostics Hospital East (FKA Victory Surgical Hospital East Houston),1.0,1.0,NA
Advanced Specialty Hospitals of Toledo,3.0,3.0,NA
Advanced Surgical Hospital,0.0,0.0,NA
AdventHealth Carrollwood (FKA Florida Hospital Carrollwood),2.0,2.0,NA
AdventHealth Central Texas (FKA Metroplex Adventist Hospital),6.0,6.0,NA
AdventHealth Connerton (FKA Florida Hospital at Connerton - Long Term Acute Care),3.0,3.0,NA
AdventHealth Dade City (FKA Florida Hospital Dade City),2.0,2.0,NA
AdventHealth Daytona Beach (FKA Florida Hospital Memorial Medical Center),7.0,7.0,NA
AdventHealth DeLand (FKA Florida Hospital DeLand),3.0,3.0,NA
AdventHealth Durand (FKA Chippewa Valley Hospital),0.0,0.0,NA
AdventHealth Fish Memorial (FKA Florida Hospital Fish Memorial),4.0,4.0,NA
AdventHealth Gordon (FKA Gordon Hospital),2.0,2.0,NA
AdventHealth Heart of Florida (FKA Heart of Florida Regional Medical Center),3.0,3.0,NA
AdventHealth Hendersonville (FKA Park Ridge Health),2.0,2.0,NA
AdventHealth Lake Wales (FKA Lake Wales Medical Center),3.0,3.0,NA
AdventHealth Manchester (FKA Manchester Memorial Hospital),2.0,2.0,NA
AdventHealth Murray (FKA Murray Medical Center),1.0,1.0,NA
AdventHealth New Smyrna Beach (FKA Florida Hospital New Smyrna),2.0,2.0,NA
AdventHealth North Pinellas (FKA Florida Hospital North Pinellas),2.0,2.0,NA
AdventHealth Ocala (FKA Florida Hospital Ocala),10.0,10.0,NA
AdventHealth Orlando (FKA Florida Hospital Orlando),30.0,30.0,NA
AdventHealth Ottawa (FKA Ransom Memorial Hospital),2.0,2.0,NA
AdventHealth Palm Coast (FKA Florida Hospital Flagler),3.0,3.0,NA
AdventHealth Rollins Brook (FKA Rollins Brook Community Hospital),2.0,2.0,NA
AdventHealth Sebring (FKA Florida Hospital Heartland Medical Center),4.0,4.0,NA
AdventHealth Shawnee Mission (FKA Shawnee Mission Medical Center),5.0,5.0,NA
AdventHealth Tampa (FKA Florida Hospital Tampa),8.0,8.0,NA
AdventHealth Waterman (FKA Florida Hospital Waterman),6.0,6.0,NA
AdventHealth Wauchula (FKA Florida Hospital Wauchula),1.0,1.0,NA
AdventHealth Wesley Chapel (FKA Florida Hospital Wesley Chapel),2.0,2.0,NA
AdventHealth Winter Garden (FKA Florida Hospital Winter Garden),0.0,0.0,NA
AdventHealth Zephyrhills (FKA Florida Hospital Zephyrhills),3.0,3.0,NA
Adventist Health Bakersfield (FKA San Joaquin Community Hospital),5.0,5.0,NA
Adventist Health Castle (FKA Castle Medical Center),3.0,3.0,NA
Adventist Health Clear Lake (FKA St Helena Hospital - Clear Lake),3.0,3.0,NA
Adventist Health Glendale (FKA Glendale Adventist Medical Center),8.0,8.0,NA
Adventist Health Hanford,5.0,5.0,NA
Adventist Health Howard Memorial (FKA Frank R Howard Memorial Hospital),2.0,2.0,NA
Adventist Health Lodi Memorial,5.0,5.0,NA
Adventist Health Portland,4.0,4.0,NA
Adventist Health Reedley,2.0,2.0,NA
Adventist Health Simi Valley (FKA Simi Valley Hospital & Health Care Services),4.0,4.0,NA
Adventist Health Sonora (FKA Sonora Regional Medical Center),5.0,5.0,NA
Adventist Health St Helena (FKA St Helena Hospital - Napa Valley),3.0,3.0,NA
Adventist Health Tehachapi Valley (FKA Tehachapi Hospital),2.0,2.0,NA
Adventist Health Tillamook (FKA Tillamook County General Hospital),2.0,2.0,NA
Adventist Health Tulare (FKA Tulare Regional Medical Center),3.0,3.0,NA
Adventist Health Ukiah Valley (FKA Ukiah Valley Medical Center),2.0,2.0,NA
Adventist Health Vallejo,0.0,0.0,NA
Adventist Health White Memorial (FKA White Memorial Medical Center),5.0,5.0,NA
Adventist HealthCare Rehabilitation - Rockville (FKA Adventist Rehabilitation Hospital - Rockville),1.0,1.0,NA
Adventist HealthCare Shady Grove Medical Center,14.0,14.0,NA
Adventist HealthCare Shady Grove Medical Center - Mental Health,11.0,11.0,NA
Adventist HealthCare Takoma Park,4.0,4.0,NA
Adventist HealthCare White Oak Medical Center,12.0,12.0,NA
Advocate BroMenn Medical Center,3.0,3.0,NA
Advocate Christ Medical Center,23.0,23.0,NA
Advocate Condell Medical Center,7.0,7.0,NA
Advocate Eureka Hospital,1.0,1.0,NA
Advocate Good Samaritan Hospital,7.0,7.0,NA
Advocate Good Shepherd Hospital,6.0,6.0,NA
Advocate Illinois Masonic Medical Center,5.0,5.0,NA
Advocate Lutheran General Hospital,12.0,12.0,NA
Advocate Sherman Hospital,9.0,9.0,NA
Advocate South Suburban Hospital,6.0,6.0,NA
Advocate Trinity Hospital,6.0,6.0,NA
Aiken Regional Medical Centers,9.0,9.0,NA
Akron Childrens Hospital,6.0,6.0,NA
Akron General,10.0,10.0,NA
Akron General Lodi Hospital,2.0,2.0,NA
Al Rashid Health and Wellness Center,0.0,0.0,NA
Alameda Hospital,3.0,3.0,NA
Alaska Native Medical Center,4.0,4.0,NA
Alaska Psychiatric Institute,0.0,0.0,NA
Alaska Regional Hospital,4.0,4.0,NA
Alaska VA Healthcare System,0.0,0.0,NA
Albany Medical Center,19.0,19.0,NA
Albany Stratton VA Medical Center,2.0,2.0,NA
Albert Solnit Psychiatric Childrens Center - South Campus,0.0,0.0,NA
Aleda E Lutz VA Medical Center (AKA Saginaw VA Medical Center),0.0,0.0,NA
Alexandria VA Health Care System (AKA Alexandria VA Medical Center),0.0,0.0,NA
Alhambra Hospital Medical Center,4.0,4.0,NA
Alice Hyde Medical Center,2.0,2.0,NA
Alice Peck Day Memorial Hospital,2.0,2.0,NA
Allegan General Hospital,1.0,1.0,NA
Alleghany Memorial Hospital (AKA Allegheny Health),2.0,2.0,NA
Allegheny General Hospital,15.0,15.0,NA
Allegheny Valley Hospital,2.0,2.0,NA
Allegiance Behavioral Center of Monroe,0.0,0.0,NA
Allegiance Behavioral Health Center of Plainview,0.0,0.0,NA
Allegiance Health Center of Ruston,0.0,0.0,NA
Allegiance Specialty Hospital of Greenville,2.0,2.0,NA
Allen County Regional Hospital,2.0,2.0,NA
Allen Hospital (FKA Allen Memorial Hospital),4.0,4.0,NA
Allen Parish Hospital,1.0,1.0,NA
Allendale County Hospital,1.0,1.0,NA
Alliance Health Center,2.0,2.0,NA
Alliance Hospital (AKA Alliance HealthCare System),0.0,0.0,NA
AllianceHealth Clinton (FKA Integris Clinton Regional Hospital),2.0,2.0,NA
AllianceHealth Durant (FKA Medical Center of Southeastern Oklahoma),5.0,5.0,NA
AllianceHealth Madill (FKA Integris Marshall County Medical Center),1.0,1.0,NA
AllianceHealth Midwest (FKA Midwest Regional Medical Center),6.0,6.0,NA
AllianceHealth Ponca City,3.0,3.0,NA
AllianceHealth Seminole (FKA Integris Seminole Medical Center),2.0,2.0,NA
AllianceHealth Woodward (FKA Woodward Regional Hospital),2.0,2.0,NA
Allied Rehab Hospital (FKA Allied Services Rehab Hospital),0.0,0.0,NA
Alomere Health (FKA Douglas County Hospital),3.0,3.0,NA
Alta Bates Summit Medical Center - Alta Bates Campus,5.0,5.0,NA
Alta Bates Summit Medical Center - Summit Campus,11.0,11.0,NA
Alta View Hospital,2.0,2.0,NA
Alta Vista Regional Hospital,2.0,2.0,NA
Alton Memorial Hospital,5.0,5.0,NA
Alton Mental Health Center,0.0,0.0,NA
Altru Hospital,6.0,6.0,NA
Altru Specialty Center,0.0,0.0,NA
Altus Baytown Hospital,0.0,0.0,NA
Altus Houston Hospital,0.0,0.0,NA
Altus Lumberton ER Hospital,NA,NA,NA
Alvarado Hospital Medical Center,6.0,6.0,NA
Alvarado Parkway Institute Behavioral Health System - La Mesa,0.0,0.0,NA
Amarillo VA Health Care System (AKA Thomas E Creek VA Medical Center),2.0,2.0,NA
American Fork Hospital,2.0,2.0,NA
American Recovery Center,0.0,0.0,NA
American River Psychiatric Health Facility,0.0,0.0,NA
Amery Hospital & Clinic (AKA Amery Regional Medical Center),2.0,2.0,NA
AnMed Health Cannon (FKA Cannon Memorial Hospital),2.0,2.0,NA
AnMed Health Medical Center,18.0,18.0,NA
AnMed Health Rehabilitation Hospital,0.0,0.0,NA
Anaheim Global Medical Center (FKA Western Medical Center Hospital Anaheim),2.0,2.0,NA
Anchor Hospital,1.0,1.0,NA
Ancora Psychiatric Hospital,0.0,0.0,NA
Andalusia Regional Hospital (AKA Andalusia Health),2.0,2.0,NA
Anderson County Hospital,0.0,0.0,NA
Anderson Hospital,3.0,3.0,NA
Anderson Regional Medical Center - North,7.0,7.0,NA
Anderson Regional Medical Center - South (FKA Riley Hospital),0.0,0.0,NA
Androscoggin Valley Hospital,2.0,2.0,NA
Angel Medical Center,2.0,2.0,NA
Animas Surgical Hospital,0.0,0.0,NA
Ann & Robert H Lurie Childrens Hospital of Chicago,5.0,5.0,NA
Anna Jaques Hospital,3.0,3.0,NA
Anne Arundel Medical Center (FKA Anne Arundel Health System),14.0,14.0,NA
Annie Jeffrey Memorial County Health Center,0.0,0.0,NA
Anoka-Metro Regional Treatment Center,0.0,0.0,NA
Anson General Hospital,0.0,0.0,NA
Antelope Memorial Hospital,0.0,0.0,NA
Antelope Valley Hospital (FKA Antelope Valley Hospital Medical Center),14.0,14.0,NA
Apollo Behavioral Health Hospital,0.0,0.0,NA
Appalachian Behavioral Healthcare Hospital,0.0,0.0,NA
Appleton Area Health Services,0.0,0.0,NA
Appling HealthCare System (FKA Appling Hospital),2.0,2.0,NA
Arbor Health Morton Hospital (FKA Morton General Hospital),1.0,1.0,NA
Arbour Hospital,0.0,0.0,NA
Arbuckle Memorial Hospital,0.0,0.0,NA
ArchCare at Calvary Hospital - Bronx Campus,2.0,2.0,NA
Archbold Memorial Hospital,7.0,7.0,NA
Archer Institute of Lake Charles Memorial Health System,0.0,0.0,NA
Arden Wood - Christian Science Care Facility,0.0,0.0,NA
Arise Austin Medical Center (FKA Austin Surgical Hospital),2.0,2.0,NA
Arizona General Hospital - Laveen,2.0,2.0,NA
Arizona General Hospital - Mesa,2.0,2.0,NA
Arizona Spine & Joint Hospital,0.0,0.0,NA
Arizona State Hospital,0.0,0.0,NA
Arkansas Childrens Hospital,2.0,2.0,NA
Arkansas Childrens Northwest,0.0,0.0,NA
Arkansas Continued Care Hospital of Jonesboro,2.0,2.0,NA
Arkansas Heart Hospital,2.0,2.0,NA
Arkansas Methodist Medical Center,3.0,3.0,NA
Arkansas State Hospital,0.0,0.0,NA
Arkansas Surgical Hospital,2.0,2.0,NA
Arkansas Valley Regional Medical Center,2.0,2.0,NA
Armstrong County Memorial Hospital (AKA ACMH Hospital),2.0,2.0,NA
Arnot Ogden Medical Center,6.0,6.0,NA
Arrowhead Behavioral Health,0.0,0.0,NA
Arrowhead Regional Medical Center,6.0,6.0,NA
Arroyo Grande Community Hospital,0.0,0.0,NA
Artesia General Hospital,2.0,2.0,NA
Artesian Valley Health System (FKA Meade District Hospital),1.0,1.0,NA
Asante Ashland Community Hospital,2.0,2.0,NA
Asante Rogue Regional Medical Center,11.0,11.0,NA
Asante Three Rivers Medical Center,4.0,4.0,NA
Ascension - Lourdes Counseling Center,0.0,0.0,NA
Ascension All Saints Hospital - Spring Street Campus (FKA Ascension Wheaton Franciscan Healthcare - All Saints),6.0,6.0,NA
Ascension Borgess Hospital,8.0,8.0,NA
Ascension Borgess-Lee Hospital,2.0,2.0,NA
Ascension Borgess-Pipp Hospital (FKA Borgess - Pipp Health Center),2.0,2.0,NA
Ascension Brighton Center for Recovery (FKA Brighton Hospital),0.0,0.0,NA
Ascension Calumet Hospital,1.0,1.0,NA
Ascension Columbia St Marys Hospital Milwaukee,5.0,5.0,NA
Ascension Columbia St Marys Hospital Ozaukee,3.0,3.0,NA
Ascension Eagle River Hospital,1.0,1.0,NA
Ascension Genesys Hospital,10.0,10.0,NA
Ascension Good Samaritan Hospital (FKA Ascension Good Samaritan Health Center),2.0,2.0,NA
Ascension Howard Young Medical Center,2.0,2.0,NA
Ascension Jane Phillips Medical Center (FKA Jane Phillips Memorial Medical Center),6.0,6.0,NA
Ascension Macomb-Oakland Hospital - Warren Campus,20.0,20.0,NA
Ascension NE Wisconsin - Mercy Campus,2.0,2.0,NA
Ascension NE Wisconsin - St Elizabeth Campus,3.0,3.0,NA
Ascension Our Lady of Victory Hospital,0.0,0.0,NA
Ascension Providence,10.0,10.0,NA
Ascension Providence Hospital - Southfield Campus,14.0,14.0,NA
Ascension Providence Rochester Hospital (FKA Ascension Crittenton Hospital),4.0,4.0,NA
Ascension River District Hospital (FKA St John River District Hospital),2.0,2.0,NA
Ascension SE Wisconsin Hospital - Franklin Campus (FKA Ascension Wheaton Franciscan Healthcare - Franklin),2.0,2.0,NA
Ascension SE Wisconsin Hospital - St Joseph Campus (FKA Wheaton Franciscan St Joseph),5.0,5.0,NA
Ascension Sacred Heart Hospital,0.0,0.0,NA
Ascension Sacred Heart Hospital Bay (AKA Bay Medical Sacred Heart),12.0,12.0,NA
Ascension Sacred Heart Hospital Pensacola,17.0,17.0,NA
Ascension Sacred Heart Hospital on the Emerald Coast,3.0,3.0,NA
Ascension Sacred Heart Hospital on the Gulf,2.0,2.0,NA
Ascension Sacred Heart Rehabilitation Hospital,0.0,0.0,NA
Ascension Saint Thomas Dekalb (FKA Dekalb Community Hospital),2.0,2.0,NA
Ascension Saint Thomas Hickman (FKA Hickman Community Health Services),0.0,0.0,NA
Ascension Saint Thomas Highlands (FKA Highlands Medical Center),2.0,2.0,NA
Ascension Saint Thomas Midtown (FKA Baptist Hospital),6.0,6.0,NA
Ascension Saint Thomas River Park (FKA River Park Hospital),3.0,3.0,NA
Ascension Saint Thomas Rutherford (FKA Middle Tennessee Medical Center),7.0,7.0,NA
Ascension Saint Thomas Stones River (FKA Stones River Hospital),1.0,1.0,NA
Ascension Saint Thomas West (FKA St Thomas Hospital),11.0,11.0,NA
Ascension Seton Edgar B Davis (FKA Seton Edgar B Davis Hospital),2.0,2.0,NA
Ascension Seton Hays (FKA Seton Medical Center Hays),6.0,6.0,NA
Ascension Seton Highland Lakes,2.0,2.0,NA
Ascension Seton Medical Center Austin,7.0,7.0,NA
Ascension Seton Northwest (FKA Seton Northwest Hospital),2.0,2.0,NA
Ascension Seton Shoal Creek (FKA Seton Shoal Creek Hospital),0.0,0.0,NA
Ascension Seton Smithville (FKA Seton Smithville Regional),2.0,2.0,NA
Ascension Seton Southwest (FKA Seton Southwest Hospital),1.0,1.0,NA
Ascension Seton Williamson (FKA Seton Medical Center Williamson),5.0,5.0,NA
Ascension St Clares Hospital,3.0,3.0,NA
Ascension St Francis Hospital (FKA Ascension Wheaton Franciscan Healthcare - St Francis),2.0,2.0,NA
Ascension St John Hospital,22.0,22.0,NA
Ascension St Joseph Hospital,2.0,2.0,NA
Ascension St Marys Hospital,2.0,2.0,NA
Ascension St Marys Hospital (FKA Ascension St Marys of Michigan St Marys Hospital),6.0,6.0,NA
Ascension St Michaels Hospital,2.0,2.0,NA
Ascension St Vincent - Seton,4.0,4.0,NA
Ascension St Vincent Anderson (FKA St Johns Health System),6.0,6.0,NA
Ascension St Vincent Carmel (FKA St Vincent Carmel Hospital),4.0,4.0,NA
Ascension St Vincent Clay (FKA St Vincent Clay Hospital),1.0,1.0,NA
Ascension St Vincent Dunn (FKA St Vincent Dunn Hospital),2.0,2.0,NA
Ascension St Vincent Evansville (FKA St Marys Medical Center - Evansville Campus),13.0,13.0,NA
Ascension St Vincent Hospital - Indianapolis,37.0,37.0,NA
Ascension St Vincent Jennings (FKA St Vincent Jennings Hospital),1.0,1.0,NA
Ascension St Vincent Kokomo,6.0,6.0,NA
Ascension St Vincent Mercy (FKA St Vincent Mercy Hospital),1.0,1.0,NA
Ascension St Vincent Orthopedic Hospital,0.0,0.0,NA
Ascension St Vincent Randolph,2.0,2.0,NA
Ascension St Vincent Salem,2.0,2.0,NA
Ascension St Vincent Warrick (FKA St Marys Warrick Hospital),1.0,1.0,NA
Ascension St Vincent Williamsport (FKA St Vincent Williamsport Hospital),2.0,2.0,NA
Ascension St Vincents Clay County Hospital,3.0,3.0,NA
Ascension St Vincents Riverside Hospital,12.0,12.0,NA
Ascension St Vincents Southside Hospital,4.0,4.0,NA
Ascension Standish Hospital (FKA Ascension St Marys of Michigan Standish Hospital),2.0,2.0,NA
Ascension Via Christi Hospital in Manhattan (FKA Mercy Regional Health Center),2.0,2.0,NA
Ascension Via Christi Hospital in Pittsburg,2.0,2.0,NA
Ascension Via Christi Rehabilitation Hospital,0.0,0.0,NA
Ascension Via Christi St Francis,14.0,14.0,NA
Ascension Via Christi St Teresa,2.0,2.0,NA
Ashe Memorial Hospital,2.0,2.0,NA
Asheville Specialty Hospital,2.0,2.0,NA
Ashford Presbyterian Community Hospital,2.0,2.0,NA
Ashland Health Center,0.0,0.0,NA
Ashley County Medical Center,2.0,2.0,NA
Ashley Medical Center,0.0,0.0,NA
Ashley Regional Medical Center,2.0,2.0,NA
Ashtabula County Medical Center,3.0,3.0,NA
Asociacion Hospital Del Maestro,2.0,2.0,NA
Aspen Mountain Medical Center,0.0,0.0,NA
Aspen Springs Psychiatric Hospital (AKA Lifeways),0.0,0.0,NA
Aspen Valley Hospital,2.0,2.0,NA
Aspire Behavioral Health of Conroe (AKA Aspire Hospital Behavioral Health),0.0,0.0,NA
Aspire Health Alliance (FKA South Shore Mental Health),0.0,0.0,NA
Aspire Health Partners (FKA Lakeside Behavioral Healthcare),0.0,0.0,NA
Aspirus Iron River Hospital,2.0,2.0,NA
Aspirus Ironwood Hospital,2.0,2.0,NA
Aspirus Keweenaw Hospital,2.0,2.0,NA
Aspirus Langlade Hospital,2.0,2.0,NA
Aspirus Medford Hospital (FKA Memorial Health Center),2.0,2.0,NA
Aspirus Ontonagon Hospital,2.0,2.0,NA
Aspirus Riverview Hospital (FKA Riverview Hospital Association),3.0,3.0,NA
Aspirus Wausau Hospital,23.0,23.0,NA
Assumption Community Hospital,1.0,1.0,NA
Assurance Health Cincinnati,0.0,0.0,NA
Assurance Health Hudson,0.0,0.0,NA
Assurance Health Indianapolis,0.0,0.0,NA
Assurance Health Pasadena,0.0,0.0,NA
Assurance Health Wilmington,0.0,0.0,NA
Astria Regional Medical Center (Temporarily Open due to COVID-19),NA,NA,NA
Astria Sunnyside Hospital (FKA Sunnyside Community Hospital & Clinics),2.0,2.0,NA
Astria Toppenish Hospital (FKA Toppenish Community Hospital),2.0,2.0,NA
Atchison Hospital,2.0,2.0,NA
Athens-Limestone Hospital,3.0,3.0,NA
Athol Hospital (FKA Athol Memorial Hospital),2.0,2.0,NA
Atlanta VA Medical Center,2.0,2.0,NA
AtlantiCare Regional Medical Center - Atlantic City Campus,24.0,24.0,NA
Atlantic City Convention Center Field Hospital (Temporarily Open due to COVID-19),NA,NA,NA
Atlantic General Hospital,3.0,3.0,NA
Atlantic Rehabilitation Institute,0.0,0.0,NA
Atmore Community Hospital,2.0,2.0,NA
Atoka County Medical Center,1.0,1.0,NA
Atrium Health Anson (FKA Carolinas HealthCare System Anson),2.0,2.0,NA
Atrium Health Cabarrus (FKA Carolinas HealthCare System NorthEast),14.0,14.0,NA
Atrium Health Carolinas Medical Center,30.0,30.0,NA
Atrium Health Cleveland (FKA Carolinas HealthCare System Cleveland),8.0,8.0,NA
Atrium Health Kings Mountain (FKA Carolinas HealthCare System Kings Mountain),2.0,2.0,NA
Atrium Health Lincoln (FKA Carolinas HealthCare System Lincoln),4.0,4.0,NA
Atrium Health Pineville (FKA Carolinas HealthCare System Pineville),9.0,9.0,NA
Atrium Health Stanly (FKA Carolinas HealthCare System Stanly),4.0,4.0,NA
Atrium Health Union (FKA Carolinas HealthCare System Union),8.0,8.0,NA
Atrium Health University City (FKA Carolinas Healthcare System University),4.0,4.0,NA
Atrium Medical Center,5.0,2.0,NA
Auburn Community Hospital,2.0,2.0,NA
Audubon County Memorial Hospital,1.0,1.0,NA
Augusta Health,5.0,5.0,NA
Augusta University Medical Center (FKA Georgia Regents Medical Center),17.0,17.0,NA
Aultman Alliance Community Hospital,4.0,4.0,NA
Aultman Hospital,21.0,21.0,NA
Aultman Orrville Hospital (FKA Dunlap Memorial Hospital),2.0,2.0,NA
Aultman Specialty Hospital (FKA Acute Care Specialty Hospital),2.0,2.0,NA
Aurelia Osborn Fox Memorial Hospital (AKA AO Fox Hospital),2.0,2.0,NA
Aurora BayCare Medical Center,5.0,5.0,NA
Aurora Behavioral Health System - East (FKA Aurora Behavioral Healthcare - Tempe Hospital),0.0,0.0,NA
Aurora Behavioral Health System - West (FKA Aurora Phoenix Hospital),0.0,0.0,NA
Aurora Charter Oak Hospital,0.0,0.0,NA
Aurora Lakeland Medical Center,2.0,2.0,NA
Aurora Medical Center - Bay Area (FKA Bay Area Medical Center),4.0,4.0,NA
Aurora Medical Center In Summit,2.0,2.0,NA
Aurora Medical Center in Burlington (FKA Aurora Memorial Hospital of Burlington),2.0,2.0,NA
Aurora Medical Center in Grafton,2.0,2.0,NA
Aurora Medical Center in Kenosha,2.0,2.0,NA
Aurora Medical Center in Manitowoc County,2.0,2.0,NA
Aurora Medical Center in Oshkosh,2.0,2.0,NA
Aurora Medical Center in Washington County,2.0,2.0,NA
Aurora Psychiatric Hospital,0.0,0.0,NA
Aurora San Diego Hospital,0.0,0.0,NA
Aurora Santa Rosa Hospital,0.0,0.0,NA
Aurora Sheboygan Memorial Medical Center,2.0,2.0,NA
Aurora St Lukes Medical Center of Aurora Health Care Metro,14.0,14.0,NA
Aurora West Allis Medical Center,3.0,3.0,NA
Austen Riggs Psychiatric Center,0.0,0.0,NA
Austin Lakes Hospital,0.0,0.0,NA
Austin Oaks Hospital,0.0,0.0,NA
Austin State Hospital,0.0,0.0,NA
Auxilio Mutuo Hospital,4.0,4.0,NA
Avail Health Lake Charles Hospital,0.0,0.0,NA
Avala Hospital (FKA Fairway Medical Center),1.0,1.0,NA
Aventura Hospital and Medical Center,12.0,12.0,NA
Avera Creighton Hospital,0.0,0.0,NA
Avera De Smet Memorial Hospital,1.0,1.0,NA
Avera Dells Area Hospital,0.0,0.0,NA
Avera Flandreau Hospital,0.0,0.0,NA
Avera Gettysburg Hospital,0.0,0.0,NA
Avera Granite Falls Health Center (FKA Granite Falls Health),0.0,0.0,NA
Avera Gregory Hospital,1.0,1.0,NA
Avera Hand County Memorial Hospital,0.0,0.0,NA
Avera Heart Hospital,2.0,2.0,NA
Avera Holy Family Hospital,2.0,2.0,NA
Avera Marshall Regional Medical Center,2.0,2.0,NA
Avera McKennan Hospital & University Health Center,21.0,21.0,NA
Avera Merrill Pioneer Hospital,0.0,0.0,NA
Avera Queen of Peace Hospital,2.0,2.0,NA
